Command,Link,Description,Preprocessed_Description
show ap debug radio-stats 1,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-rad-st1.htm,This command displays aggregate radio debug statistics of an AP for radio ID 1 (one).,show ap debug radio-stats 1 aggregate radio debug statistics ap radio id 1 one
show ap debug radius-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-rs.htm,This command displays the RADIUS statistics for the authentication servers configured on an AP. Use the output of this command to view the authentication server details.,show ap debug radius-statistics radius statistics authentication servers configured ap use output view authentication server details
show ap debug shaping-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-shp-tbl.htm,This command displays shaping information for clients associated to an AP.,show ap debug shaping-table shaping information clients associated ap
show ap debug stm-bucketmap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-stmb.htm,"This command displays bucket map received from cluster by AP STM, the bucketmap, and SSID mapping messages received.",show ap debug stm-bucketmap bucket map received cluster ap stm bucketmap ssid mapping messages received
show ap debug stm-config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-stmc.htm,This command displays the AP STM configuration information.,show ap debug stm-config ap stm configuration information
show ap debug stm-role,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-stm.htm,This command displays the STM user roles configured for the SSIDs in an AP. Use the output of this command to view the user roles configured for the AP STM. This output includes details of the VLANs assigned to each SSID and information if the Calea feature is enabled or disabled.,show ap debug stm-role stm user roles configured ssids ap use output view user roles configured ap stm output includes details vlans assigned ssid information calea feature enabled disabled
show ap debug subscribe-event-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-apd-subsc-evt.htm,This command displays the recorded details of the crash event.,show ap debug subscribe-event-statistics recorded details crash event
show ap debug system-status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-sys-st.htm,This command displays the detailed system status information for an AP.,show ap debug system-status detailed system status information ap
show ap dtls ephemeral-neighlist,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showap-dtls-en.htm,This command displays the list of ephemeral neighboring APs details like MAC address and IP on the current AP device in the network. Ephemeral neighbor list is fetched only in the following scenarios:,show ap dtls ephemeral-neighlist list ephemeral neighboring aps details like mac address ip current ap device network ephemeral neighbor list fetched following scenarios
show ap dtls provisioned-neighlist,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showap-dtls-pn.htm,"This command displays the list of provisioned neighboring APs details like serial, MAC address, IP, and DTLS connection status of the current AP with respective neighboring APs in the network. Provisioned neighbor list is fetched when an AP is provisioned with ACP and receives the neighbor list from Key Management Service.",show ap dtls provisioned-neighlist list provisioned neighboring aps details like serial mac address ip dtls connection status current ap respective neighboring aps network provisioned neighbor list fetched ap provisioned acp receives neighbor list key management service
show ap-env,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-env.htm,This command displays all provisioned AP parameters such as the type of antenna used by AP. The output of this command indicates if the AP is configured to use an external or integrated antenna and if the AP is configured as a master AP.,show ap-env provisioned ap parameters type antenna used ap output indicates ap configured use external integrated antenna ap configured master ap
show ap global acl-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-glb-acl.htm,This command displays the ACL table of STM.,show ap global acl-table acl table stm
show ap mesh active,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-actv.htm,This command displays active mesh cluster APs currently registered on this gateway.,show ap mesh active active mesh cluster aps currently registered gateway
show ap mesh cluster configuration,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-clst-cfg.htm,This command displays the saved mesh cluster configuration details of the AP.,show ap mesh cluster configuration saved mesh cluster configuration details ap
show ap mesh cluster stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-clst-sts.htm,This command displays the radio and mesh statistics of the mesh AP at the defined IP address.,show ap mesh cluster stats radio mesh statistics mesh ap defined ip address
show ap mesh cluster status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-clst-stat.htm,This command displays the status of the mesh cluster and mobility mesh point.,show ap mesh cluster status status mesh cluster mobility mesh point
show ap mesh cluster topology,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-clst-topo.htm,This command displays the topology information of the mesh APs in the cluster.,show ap mesh cluster topology topology information mesh aps cluster
show ap mesh counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mesh-count.htm,This command displays the mesh counters for AP. Use the output of this command to view a list of mesh counters available for AP.,show ap mesh counters mesh counters ap use output view list mesh counters available ap
show ap mesh link,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mesh-link.htm,This command displays the mesh link information of the AP.,show ap mesh link mesh link information ap
show ap mesh neighbors,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mesh-neigh.htm,This command displays all mesh neighbours for AP.,show ap mesh neighbors mesh neighbours ap
show ap mesh topology,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-topo.htm,This command displays the mesh topology tree including the names of a mesh portal’s children in the output of this command.,show ap mesh topology mesh topology tree including names mesh portal children output
show ap monitor status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor.htm,This command shows information for Aruba Air Monitors.,show ap monitor status shows information aruba air monitors
show ap monitor ap-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-ap-list.htm,This command displays the list of APs being monitored.,show ap monitor ap-list list aps monitored
show ap monitoe ap- list containment exclusion,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-mon-excl.htm,This command displays the details of the APs exempted from containment.,show ap monitoe ap- list containment exclusion details aps exempted containment
